ID,Instruments (list of prefixes to instrument ID)
,
,
,
string.pizzicato,strings
string.pizzicato.left-hand,strings
string.pizzicato.bartok,strings
string.tremolo.right-hand,strings
string.tremolo.right-hand.irregular,strings
string.position.sul-ponticello,strings
string.position.sul-ponticello.poco,strings
string.position.sul-ponticello.molto,strings
string.position.naturale,strings
string.position.sul-tasto,strings
string.position.sul-tasto.poco,strings
string.position.sul-tasto.molto,strings
string.mute,strings
string.mute.practice,strings
string.bow.pressure,strings
string.bow.pressure.extreme,strings
string.bow.pressure.light,strings
string.harmonic,strings
string.harmonic.natural,strings
string.harmonic.artificial,strings
string.harmonic.artificial.1,strings
string.harmonic.artificial.2,strings
string.harmonic.artificial.3,strings
string.harmonic.artificial.4,strings
string.harmonic.artificial.5,strings
string.harmonic.artificial.6,strings
string.harmonic.artificial.7,strings
string.open,strings
string.tremolo.left-hand,strings
string.tremolo.left-hand.one-string,strings
string.tremolo.left-hand.bariolage,strings
string.bow-node,strings
string.col-legno-tratto,strings
string.col-legno-battutto,strings
string.pizzicatto.pizzicato.alla-chitarra,strings
,
harp.harmonics,pluck.harp
,
flute.pizzicatto,wind.flutes
flute.tounge-ram,wind.flutes
flute.jet-whistle,wind.flutes
flute.whistle-tone,wind.flutes
flute.air-sound,wind.flutes
wind.multiphonic,wind
brass.with-voice,brass
wind.bisbigliando,
,
tongue.flutter,"wind,brass"
brass.mute.straight,brass
brass.mute.cup,brass
brass.mute.bucket,brass
brass.mute.plunger,brass
brass.mute.harmon,brass
brass.mute.into-stand,brass
brass.horn.closed,brass.french-horn
brass.pedal,"brass.trumpet,brass.trombone"
brass.mouthpiece.none,brass
brass.mouthpiece.hit-with-palm,brass
